Country,City,AccentCity,Region,Population,Latitude,Longitude
us,arab,Arab,AL,,34.3180556,-86.4958333
us,ararat,Ararat,AL,,31.9680556,-88.1466667
us,arbacoochee,Arbacoochee,AL,,33.5761111,-85.5172222
us,archer,Archer,AL,,33.2972222,-88.2216667
us,arcola,Arcola,AL,,32.5569444,-87.7675000
us,arcus,Arcus,AL,,31.5136111,-85.9752778
us,ardell,Ardell,AL,,33.9952778,-87.0986111
us,ardilla,Ardilla,AL,,31.1413889,-85.1513889
us,ardmore,Ardmore,AL,,34.9919444,-86.8469444
us,argo,Argo,AL,,33.6816667,-86.5305556
us,arguta,Arguta,AL,,31.5691667,-85.5952778
us,ariton,Ariton,AL,,31.6000000,-85.7188889
us,arkadelphia,Arkadelphia,AL,,33.9050000,-86.9625000
us,arkdell,Arkdell,AL,,34.9597222,-87.4297222
us,arkwright,Arkwright,AL,,33.3713889,-86.4025000
us,arley,Arley,AL,,34.0788889,-87.2122222
us,arley landing,Arley Landing,AL,,34.0441667,-87.2658333
us,arlington,Arlington,AL,,32.0569444,-87.5886111
us,armstead,Armstead,AL,,33.8819444,-86.5247222
us,armstrong,Armstrong,AL,,32.2394444,-85.6577778
us,arnedra subdivision,Arnedra Subdivision,AL,,33.2911111,-87.7022222
us,arona,Arona,AL,,34.2216667,-86.0819444
us,arrowhead,Arrowhead,AL,,33.6586111,-86.6680556
us,asahel,Asahel,AL,,31.8677778,-87.4208333
us,asberry,Asberry,AL,,33.8944444,-85.7447222
us,asbury,Asbury,AL,,31.7005556,-87.7238889
us,asbury park,Asbury Park,AL,,33.4627778,-86.7372222
us,ashbank,Ashbank,AL,,34.0102778,-87.4875000
us,ashby,Ashby,AL,,33.0208333,-86.9194444
us,ashcraft corner,Ashcraft Corner,AL,,33.5266667,-87.9005556
us,ashford,Ashford,AL,,31.1827778,-85.2363889
us,ashland,Ashland,AL,,33.2736111,-85.8361111
us,ashridge,Ashridge,AL,,34.2347222,-87.4686111
us,ashville,Ashville,AL,,33.8369444,-86.2544444
us,askea grove,Askea Grove,AL,,34.2852778,-86.4594444
us,aspel,Aspel,AL,,34.6208333,-86.1655556
us,athens,Athens,AL,20470,34.8027778,-86.9716667
us,atkeison,Atkeison,AL,,31.9652778,-87.6863889
us,atmore,Atmore,AL,,31.0236111,-87.4938889
us,attalla,Attalla,AL,,34.0216667,-86.0886111
us,atwood,Atwood,AL,,34.3605556,-87.9950000
us,aubrey,Aubrey,AL,,32.6669444,-85.4525000
us,aubrey isle,Aubrey Isle,AL,,34.1527778,-85.7750000
us,auburn,Auburn,AL,49833,32.6097222,-85.4808333
us,augustin,Augustin,AL,,32.5061111,-87.1077778
us,aurora,Aurora,AL,,34.1166667,-86.1925000
us,austin subdivision,Austin Subdivision,AL,,33.2091667,-87.4950000
us,austinville,Austinville,AL,,34.5747222,-87.0086111
us,autaugaville,Autaugaville,AL,,32.4338889,-86.6547222
us,ava,Ava,AL,,33.3430556,-85.4780556
us,avalon park,Avalon Park,AL,,33.4305556,-86.9902778
us,avant,Avant,AL,,31.6213889,-86.7013889
us,avery,Avery,AL,,34.1083333,-86.0361111
us,avon,Avon,AL,,31.1891667,-85.2861111
us,avon park,Avon Park,AL,,33.5461111,-86.7713889
us,avondale,Avondale,AL,,33.5216667,-86.7780556
us,avondale village,Avondale Village,AL,,33.5930556,-86.2761111
us,awin,Awin,AL,,31.8377778,-86.9488889
us,axis,Axis,AL,,30.9297222,-88.0272222
us,axle,Axle,AL,,31.5955556,-87.3297222
us,ayres,Ayres,AL,,33.7313889,-86.5636111
us,ayres estates,Ayres Estates,AL,,33.7269444,-86.5583333
us,babbie,Babbie,AL,,31.2794444,-86.3255556
us,bachelors chapel,Bachelors Chapel,AL,,34.0194444,-85.8700000
us,backems crossroads,Backems Crossroads,AL,,31.2416667,-85.6305556
us,backers landing,Backers Landing,AL,,31.8083333,-87.4577778
us,bacon level,Bacon Level,AL,,33.1286111,-85.2908333
us,bagley,Bagley,AL,,33.7555556,-87.0016667
us,bagley meadows,Bagley Meadows,AL,,33.7538889,-86.9938889
us,bailey cove estates,Bailey Cove Estates,AL,,34.6650000,-86.5441667
us,bailey crossroads,Bailey Crossroads,AL,,31.1908333,-85.5938889
us,bailey springs,Bailey Springs,AL,,34.8955556,-87.5713889
us,baileys landing,Baileys Landing,AL,,31.6811111,-88.0816667
us,baileyton,Baileyton,AL,,34.2622222,-86.6127778
us,baileytown,Baileytown,AL,,34.1636111,-86.6597222
us,baker hill,Baker Hill,AL,,31.7811111,-85.3022222
us,bald hill,Bald Hill,AL,,31.1636111,-85.6355556
us,baldwin,Baldwin,AL,,34.1891667,-86.9169444
us,balkum,Balkum,AL,,31.4175000,-85.2275000
us,ball flat,Ball Flat,AL,,34.0177778,-85.7338889
us,ballfield landing,Ballfield Landing,AL,,31.6125000,-88.0747222
us,ballplay,Ballplay,AL,,34.0586111,-85.8080556
us,baltic,Baltic,AL,,31.6516667,-86.0041667
us,baltimore hill,Baltimore Hill,AL,,34.8366667,-86.5422222
us,bama dale,Bama Dale,AL,,31.2672222,-85.3761111
us,bama park,Bama Park,AL,,32.7161111,-85.8519444
us,bamford,Bamford,AL,,33.2758333,-86.9319444
us,bangor,Bangor,AL,,33.9744444,-86.7566667
us,bankhead,Bankhead,AL,,34.5602778,-85.5530556
us,banks,Banks,AL,,31.8150000,-85.8430556
us,bankston,Bankston,AL,,33.6713889,-87.6713889
us,baptist hill,Baptist Hill,AL,,32.5158333,-87.8313889
us,barachias,Barachias,AL,,32.2994444,-86.1963889
us,barber,Barber,AL,,31.2341667,-85.2355556
us,barclay,Barclay,AL,,33.4191667,-86.1669444
us,barefield crossroads,Barefield Crossroads,AL,,31.5516667,-85.4525000
us,barfield,Barfield,AL,,33.3611111,-85.7158333
us,barlow,Barlow,AL,,31.5666667,-88.3236111
us,barlow bend,Barlow Bend,AL,,31.4544444,-87.6347222
us,barlow landing,Barlow Landing,AL,,30.9572222,-87.8725000
us,barnes,Barnes,AL,,31.5425000,-85.6744444
us,barnesville,Barnesville,AL,,34.1397222,-88.0777778
us,barnett chapel,Barnett Chapel,AL,,34.1619444,-87.2994444
us,barnett crossroads,Barnett Crossroads,AL,,31.2211111,-87.3044444
us,barney,Barney,AL,,33.7161111,-87.1586111
us,barneys lower landing,Barneys Lower Landing,AL,,31.9922222,-88.0755556
us,barnisdale forest,Barnisdale Forest,AL,,33.5900000,-86.6786111
us,barnwell,Barnwell,AL,,30.4247222,-87.8794444
us,barrett,Barrett,AL,,31.1919444,-85.4208333
us,barrett crossroads,Barrett Crossroads,AL,,33.1952778,-85.2938889
us,barry village,Barry Village,AL,,30.9986111,-88.0269444
us,barrytown,Barrytown,AL,,31.8372222,-88.2527778
us,barton,Barton,AL,,34.7386111,-87.8911111
us,bartonville,Bartonville,AL,,33.5747222,-86.7805556
us,basham,Basham,AL,,34.5147222,-87.0180556
us,bashi,Bashi,AL,,31.9711111,-87.8613889
us,basin,Basin,AL,,31.3413889,-86.1308333
us,bass,Bass,AL,,34.9319444,-85.9130556
us,bassetts creek,Bassetts Creek,AL,,31.4644444,-88.0322222
us,batchelor subdivision,Batchelor Subdivision,AL,,33.3469444,-87.5888889
us,batesville,Batesville,AL,,32.0088889,-85.3111111
us,bath springs,Bath Springs,AL,,34.1116667,-85.8897222
us,battelle,Battelle,AL,,34.6494444,-85.5652778
us,battens crossroads,Battens Crossroads,AL,,31.2608333,-85.8900000
us,battery hill,Battery Hill,AL,,34.9527778,-85.7083333
us,battleground,Battleground,AL,,34.3044444,-86.9963889
us,battles wharf,Battles Wharf,AL,,30.4941667,-87.9277778
us,baxters,Baxters,AL,,31.7575000,-85.5811111
us,bay minette,Bay Minette,AL,,30.8827778,-87.7730556
us,bay springs,Bay Springs,AL,,34.1758333,-85.7155556
us,bay view,Bay View,AL,,33.5586111,-86.9736111
us,bayleys corner,Bayleys Corner,AL,,30.4647222,-88.1144444
us,bayou la batre,Bayou La Batre,AL,,30.4166667,-88.2250000
us,bayside,Bayside,AL,,30.4083333,-87.8236111
us,bazemore,Bazemore,AL,,33.8944444,-87.7000000
us,beacon,Beacon,AL,,31.7144444,-86.8230556
us,beamon,Beamon,AL,,31.5188889,-85.5861111
us,beans crossroads,Beans Crossroads,AL,,31.9991667,-85.8536111
us,beans mill,Beans Mill,AL,,32.6969444,-85.2675000
us,bear creek,Bear Creek,AL,,34.2747222,-87.7005556
us,beards mill,Beards Mill,AL,,33.3655556,-88.1197222
us,beasley,Beasley,AL,,33.2119444,-88.1000000
us,beatrice,Beatrice,AL,,31.7333333,-87.2047222
us,beaty crossroads,Beaty Crossroads,AL,,34.6955556,-85.6694444
us,beauregard,Beauregard,AL,,32.5430556,-85.3708333
us,beaver town,Beaver Town,AL,,33.1944444,-88.1980556
us,beaverton,Beaverton,AL,,33.9311111,-88.0202778
us,beck,Beck,AL,,31.2561111,-86.5847222
us,beda,Beda,AL,,31.0508333,-86.5827778
us,bedford,Bedford,AL,,33.7958333,-88.2069444
us,beechwood,Beechwood,AL,,32.1258333,-86.6561111
us,beechwood acres,Beechwood Acres,AL,,34.7605556,-87.1705556
us,beehive,Beehive,AL,,32.5536111,-85.5780556
us,bel air,Bel Air,AL,,31.2313889,-85.4372222
us,bel air estates,Bel Air Estates,AL,,33.2619444,-87.6877778
us,belchers,Belchers,AL,,33.1094444,-87.2088889
us,belforest,Belforest,AL,,30.6036111,-87.8525000
us,belgreen,Belgreen,AL,,34.4747222,-87.8663889
us,belk,Belk,AL,,33.6475000,-87.9313889
us,belknap,Belknap,AL,,32.2061111,-87.0138889
us,bell,Bell,AL,,33.3388889,-87.9605556
us,bell factory,Bell Factory,AL,,34.8238889,-86.4738889
us,bell mills,Bell Mills,AL,,33.6163889,-85.4747222
us,bell springs,Bell Springs,AL,,34.3172222,-86.9152778
us,bell station,Bell Station,AL,,32.3300000,-86.1938889
us,bell-merrill,Bell-Merrill,AL,,31.2122222,-85.4116667
us,bellamy,Bellamy,AL,,32.4488889,-88.1336111
us,belle ellen,Belle Ellen,AL,,33.1244444,-87.0572222
us,belle haven,Belle Haven,AL,,33.4608333,-86.8886111
us,belle mina,Belle Mina,AL,,34.6566667,-86.8791667
us,belle vista,Belle Vista,AL,,33.3763889,-86.3269444
us,bellefontaine,Bellefontaine,AL,,30.4933333,-88.1036111
us,bellefonte,Bellefonte,AL,,34.7111111,-85.9452778
us,bellemeade,Bellemeade,AL,,34.8477778,-87.5950000
us,belleville,Belleville,AL,,31.4297222,-87.1091667
us,bellevue,Bellevue,AL,,32.4375000,-87.3802778
us,bells crossroads,Bells Crossroads,AL,,31.8952778,-85.5236111
us,belltown,Belltown,AL,,33.6033333,-85.6066667
us,bellview,Bellview,AL,,34.5450000,-85.9336111
us,bellwood,Bellwood,AL,,31.1730556,-85.7933333
us,belmont,Belmont,AL,,32.5586111,-87.9425000
us,beloit,Beloit,AL,,32.3541667,-87.1486111
us,beltona,Beltona,AL,,33.7983333,-86.8486111
us,belview heights,Belview Heights,AL,,34.7150000,-87.6916667
us,belwood,Belwood,AL,,33.4680556,-86.9116667
us,bemiston,Bemiston,AL,,33.4100000,-86.1208333
us,bendale,Bendale,AL,,33.5619444,-86.7811111
us,benevola,Benevola,AL,,33.1091667,-87.9650000
us,benoit,Benoit,AL,,33.7538889,-87.1572222
us,bent tree,Bent Tree,AL,,33.8791667,-86.7688889
us,bentley hills,Bentley Hills,AL,,33.5133333,-86.7444444
us,bentleyville,Bentleyville,AL,,32.9561111,-86.2602778
us,benton,Benton,AL,,32.3066667,-86.8177778
us,berkley,Berkley,AL,,34.6397222,-86.4291667
us,berkley hills,Berkley Hills,AL,,33.6172222,-86.6969444
us,berlin,Berlin,AL,,34.1813889,-86.7422222
us,bermuda,Bermuda,AL,,31.4872222,-87.1883333
us,berney points,Berney Points,AL,,33.4863889,-86.8625000
us,berneys,Berneys,AL,,33.3436111,-86.1494444
us,berry,Berry,AL,,33.6597222,-87.6000000
us,berry springs,Berry Springs,AL,,34.4294444,-85.5086111
us,bertha,Bertha,AL,,31.5411111,-85.4280556
us,berwick,Berwick,AL,,33.2755556,-85.6694444
us,bessemer,Bessemer,AL,28628,33.4016667,-86.9544444
us,bessemer gardens,Bessemer Gardens,AL,,33.4241667,-86.9783333
us,bessemer homestead,Bessemer Homestead,AL,,33.4036111,-86.9388889
us,bessemer junction,Bessemer Junction,AL,,33.4247222,-86.9691667
us,bessie,Bessie,AL,,32.9441667,-86.8325000
us,bessie junction,Bessie Junction,AL,,33.6369444,-87.0363889
us,bethel,Bethel,AL,,31.6280556,-85.6819444
us,bethel grove,Bethel Grove,AL,,32.6277778,-86.8500000
us,bethlehem,Bethlehem,AL,,33.9819444,-86.2661111
us,bethsaida,Bethsaida,AL,,34.5536111,-87.5566667
us,betts lower landing,Betts Lower Landing,AL,,31.2075000,-87.8497222
us,beulah,Beulah,AL,,31.2288889,-86.2325000
us,beulah land,Beulah Land,AL,,34.6886111,-87.0013889
us,bevelle,Bevelle,AL,,32.9258333,-85.9388889
us,beverly station,Beverly Station,AL,,33.4838889,-86.8533333
us,bexar,Bexar,AL,,34.1908333,-88.1472222
us,bibb mill,Bibb Mill,AL,,32.9472222,-86.9102778
us,bibbville,Bibbville,AL,,33.1933333,-87.1763889
us,biddle crossroads,Biddle Crossroads,AL,,34.6580556,-85.6936111
us,big cove,Big Cove,AL,,34.6672222,-86.4888889
us,big creek,Big Creek,AL,,31.0683333,-85.4338889
us,big oak,Big Oak,AL,,34.8508333,-87.4533333
us,big ridge,Big Ridge,AL,,33.7447222,-87.2366667
us,big springs,Big Springs,AL,,33.2825000,-85.3063889
us,bigbee,Bigbee,AL,,31.6138889,-88.1663889
us,billingsley,Billingsley,AL,,32.6594444,-86.7177778
us,billy goat hill,Billy Goat Hill,AL,,34.1941667,-85.6950000
us,bingham,Bingham,AL,,34.6463889,-87.4975000
us,binghamtown,Binghamtown,AL,,33.5800000,-86.1869444
us,birdeye,Birdeye,AL,,32.6130556,-87.8291667
us,birdsong,Birdsong,AL,,34.2450000,-86.6466667
us,birmingham,Birmingham,AL,231621,33.5205556,-86.8025000
us,biscayne highlands,Biscayne Highlands,AL,,33.5852778,-86.6933333
us,bishop,Bishop,AL,,34.6655556,-88.1138889
us,black,Black,AL,,31.0091667,-85.7444444
us,black bottom,Black Bottom,AL,,33.9480556,-86.8600000
us,black creek,Black Creek,AL,,34.1758333,-85.8777778
us,black diamond,Black Diamond,AL,,33.3447222,-87.0866667
us,black pond,Black Pond,AL,,34.0597222,-87.3516667
us,blackankle,Blackankle,AL,,34.7450000,-86.0213889
us,blackburn,Blackburn,AL,,34.9308333,-87.6461111
us,blackman,Blackman,AL,,32.8680556,-85.5266667
us,blacksher,Blacksher,AL,,31.2105556,-87.7383333
us,blackwood,Blackwood,AL,,31.3872222,-85.4083333
us,bladon springs,Bladon Springs,AL,,31.7305556,-88.1975000
us,bladon springs landing,Bladon Springs Landing,AL,,31.7627778,-88.1569444
us,blairs,Blairs,AL,,31.2638889,-86.2233333
us,blake,Blake,AL,,34.5055556,-85.7550000
us,blakeley,Blakeley,AL,,30.7419444,-87.9241667
us,blalock,Blalock,AL,,32.3091667,-87.3836111
us,blanche,Blanche,AL,,34.3633333,-85.6100000
us,blands landing,Blands Landing,AL,,32.6813889,-85.1391667
us,blanton,Blanton,AL,,32.7344444,-85.1338889
us,bleecker,Bleecker,AL,,32.5822222,-85.1641667
us,blockton junc,Blockton Junc,AL,,33.2088889,-87.1433333
us,blooming grove,Blooming Grove,AL,,33.7936111,-87.9786111
us,blossburg,Blossburg,AL,,33.6305556,-86.9466667
us,bloucher ford,Bloucher Ford,AL,,34.8752778,-86.4755556
us,blount landing,Blount Landing,AL,,31.6361111,-88.0872222
us,blount springs,Blount Springs,AL,,33.9311111,-86.7941667
us,blountsville,Blountsville,AL,,34.0813889,-86.5911111
us,blow gourd,Blow Gourd,AL,,33.9466667,-86.5858333
us,blue creek,Blue Creek,AL,,33.3708333,-87.0761111
us,blue creek junction,Blue Creek Junction,AL,,33.4125000,-86.9658333
us,blue eye,Blue Eye,AL,,33.6013889,-86.1344444
us,blue ford landing,Blue Ford Landing,AL,,31.1636111,-87.9733333
us,blue mountain,Blue Mountain,AL,,33.6844444,-85.8427778
us,blue pond,Blue Pond,AL,,34.2369444,-85.7202778
us,blue ridge,Blue Ridge,AL,,32.4925000,-86.1905556
us,blue springs,Blue Springs,AL,,31.6636111,-85.5066667
us,blue springs park,Blue Springs Park,AL,,34.8155556,-87.1541667
us,blues old stand,Blues Old Stand,AL,,31.9847222,-85.7169444
us,bluff,Bluff,AL,,33.8205556,-87.9063889
us,bluff city,Bluff City,AL,,34.5455556,-86.7813889
us,bluff park,Bluff Park,AL,,33.4013889,-86.8561111
us,bluff ridge subdivision,Bluff Ridge Subdivision,AL,,33.2802778,-86.9916667
us,bluff springs,Bluff Springs,AL,,33.1633333,-85.8275000
us,bluffport,Bluffport,AL,,32.5938889,-88.1155556
us,bluffton,Bluffton,AL,,34.0069444,-85.4400000
us,boar tush,Boar Tush,AL,,34.1911111,-87.6219444
us,boaz,Boaz,AL,,34.2005556,-86.1663889
us,boaz corner,Boaz Corner,AL,,33.2733333,-86.3013889
us,bobo,Bobo,AL,,33.8772222,-87.8225000
us,bogue chitto,Bogue Chitto,AL,,32.3655556,-87.3036111
us,bogueloosa,Bogueloosa,AL,,31.9875000,-88.3325000
us,bohannon ford,Bohannon Ford,AL,,34.4458333,-85.8611111
us,boiling spring,Boiling Spring,AL,,33.6147222,-85.7927778
us,boiling springs,Boiling Springs,AL,,33.7363889,-86.0422222
us,boldo,Boldo,AL,,33.8538889,-87.1827778
us,boley springs,Boley Springs,AL,,33.6430556,-87.5100000
us,boligee,Boligee,AL,,32.7558333,-88.0288889
us,bolinger,Bolinger,AL,,31.7783333,-88.3311111
us,bolivar,Bolivar,AL,,34.9133333,-85.7750000
us,bolling,Bolling,AL,,31.7252778,-86.7058333
us,bolte,Bolte,AL,,34.1486111,-86.8083333
us,bomar,Bomar,AL,,34.1086111,-85.5802778
us,bon acre landing,Bon Acre Landing,AL,,32.2863889,-84.9247222
us,bon air,Bon Air,AL,,33.2636111,-86.3355556
us,bon secour,Bon Secour,AL,,30.3152778,-87.7294444
us,bon-air,Bon-Air,AL,,33.4444444,-86.9327778
us,bonita,Bonita,AL,,32.5444444,-86.8283333
us,bonneville,Bonneville,AL,,34.8463889,-86.9358333
us,bonnie doone,Bonnie Doone,AL,,34.7741667,-86.9641667
us,bonny brook,Bonny Brook,AL,,33.7816667,-85.7613889
us,booker heights,Booker Heights,AL,,33.5425000,-87.0072222
us,booker t city,Booker T City,AL,,33.7966667,-85.7875000
us,bookers mill,Bookers Mill,AL,,31.5266667,-87.0322222
us,booneville,Booneville,AL,,31.2008333,-87.6030556
us,boot hill,Boot Hill,AL,,31.8758333,-85.6425000
us,booth,Booth,AL,,32.5002778,-86.5719444
us,booth ford,Booth Ford,AL,,33.1852778,-87.0019444
us,boothetown,Boothetown,AL,,30.9511111,-88.3394444
us,boothton,Boothton,AL,,33.1797222,-86.9905556
us,borden springs,Borden Springs,AL,,33.9297222,-85.4702778
us,borden wheeler springs,Borden Wheeler Springs,AL,,33.9136111,-85.4658333
us,boromville,Boromville,AL,,32.3063889,-85.4416667
us,bostic,Bostic,AL,,33.3036111,-87.9494444
us,boston,Boston,AL,,31.4677778,-86.4819444
us,bosworth,Bosworth,AL,,33.0227778,-85.5613889
us,bowden grove,Bowden Grove,AL,,33.3391667,-85.8436111
us,bowles,Bowles,AL,,31.5733333,-86.9769444
us,bowman crossroads,Bowman Crossroads,AL,,34.6022222,-85.8563889
us,boxtel,Boxtel,AL,,34.0186111,-86.2680556
us,boyd,Boyd,AL,,32.6194444,-88.3041667
us,boyds,Boyds,AL,,32.8172222,-85.4047222
us,boykin,Boykin,AL,,32.0777778,-87.2813889
us,boyles highlands,Boyles Highlands,AL,,33.5675000,-86.7744444
us,boylston,Boylston,AL,,32.4283333,-86.2794444
us,bradford,Bradford,AL,,32.9947222,-86.0850000
us,bradley,Bradley,AL,,31.0333333,-86.7255556
us,bradley landing,Bradley Landing,AL,,32.3300000,-85.0075000
us,bradleyton,Bradleyton,AL,,31.9016667,-86.2422222
us,bradleytown,Bradleytown,AL,,33.7000000,-87.2491667
us,braggs,Braggs,AL,,32.0502778,-86.7955556
us,braggsville,Braggsville,AL,,33.5991667,-86.5072222
us,braggville,Braggville,AL,,32.6822222,-87.9972222
us,branchville,Branchville,AL,,33.6586111,-86.4325000
us,brandontown,Brandontown,AL,,34.7494444,-86.6344444
us,brannon stand,Brannon Stand,AL,,31.2400000,-85.4808333
us,brannon stand heights,Brannon Stand Heights,AL,,31.2416667,-85.4833333
us,brans chapel,Brans Chapel,AL,,34.0872222,-86.0897222
us,brantley,Brantley,AL,,31.5822222,-86.2572222
us,brantley crossing,Brantley Crossing,AL,,31.4963889,-87.1191667
us,brantleyville,Brantleyville,AL,,33.2158333,-86.8750000
us,brasfield landing,Brasfield Landing,AL,,32.6208333,-87.8802778
us,brassell,Brassell,AL,,32.3994444,-86.0402778
us,brassell bottom,Brassell Bottom,AL,,32.3988889,-86.1847222
us,bread tray hill,Bread Tray Hill,AL,,32.0638889,-85.7705556
us,breezeway bay,Breezeway Bay,AL,,34.5050000,-86.1888889
us,bremen,Bremen,AL,,33.9944444,-86.9700000
us,brent,Brent,AL,,32.9372222,-87.1647222
us,brents cross roads,Brents Cross Roads,AL,,33.7111111,-86.9930556
us,brentwood,Brentwood,AL,,33.7772222,-86.6291667
us,brewersville,Brewersville,AL,,32.5163889,-88.0919444
us,brewton,Brewton,AL,,31.1050000,-87.0722222
us,briar hill,Briar Hill,AL,,31.9588889,-86.1300000
us,briar lake estates,Briar Lake Estates,AL,,31.0000000,-87.4805556
us,briarcliff estates,Briarcliff Estates,AL,,33.7236111,-87.0002778
us,briarfield,Briarfield,AL,,33.4227778,-86.2769444
us,brice,Brice,AL,,34.0944444,-85.9719444
us,brickyard,Brickyard,AL,,32.3983333,-85.0100000
us,brickyard junction,Brickyard Junction,AL,,33.4097222,-86.9422222
us,brides hill,Brides Hill,AL,,34.6702778,-87.2441667
